Salario,Idade,Marca,Nome,Ano,Valor_Carro,Valor_Seguro
2111.85,28,Chevrolet,Montana,2019,82052.14,5429.62
5832.44,63,Chevrolet,Celta,2014,14000.0,1100.0
2619.53,25,Volkswagen,Polo,2018,50112.34,3362.92
5523.95,23,CAOA Chery,Tiggo 8,2018,107893.58,10267.8
7493.48,51,Hyundai,Tucson,2021,146695.18,6555.54
6876.15,47,Volkswagen,Amarok,2013,90415.78,5384.53
4203.52,45,Peugeot,2008,2009,30334.94,1641.56
2752.57,45,BYD,Dolphin,2023,148340.92,6377.7
15395.27,37,Kia,Sorento,2024,273002.67,13734.8
6111.16,27,Toyota,Etios,2008,22000.0,1498.77
5662.62,38,Honda,CR-V,2019,170892.47,7847.73
5942.09,29,Renault,Sandero,2020,53554.5,2479.32
3461.89,49,Renault,Kardian,2021,80553.91,4533.08
14047.12,36,Suzuki,Vitara,2005,22000.0,1150.84
4036.62,28,Chevrolet,Celta,2023,29236.66,1981.68
6104.73,34,Toyota,Corolla Cross,2020,107237.65,5594.92
9359.49,42,Fiat,Fastback,2014,53437.23,3418.05
9572.57,31,Citroen,Aircross,2019,42578.28,2395.81
6027.34,28,Chevrolet,Corsa,2023,30567.14,1842.95
3808.72,40,Hyundai,Tucson,2012,56726.68,2713.51
9799.67,40,Chevrolet,Prisma,2021,41736.04,1725.68
10338.09,31,Hyundai,i30,2019,48043.76,2131.08
12600.05,32,Mitsubishi,Eclipse Cross,2024,170448.34,8534.44
9487.99,40,Toyota,SW4,2024,364319.71,16569.59
18768.68,20,Honda,City Hatchback,2022,92882.33,7522.99
6143.41,21,Porsche,718 Boxster,2020,385077.66,47088.3
6937.35,29,Chevrolet,Montana,2017,59040.47,3272.24
13437.05,35,Jeep,Renegade,2018,87878.95,5136.26
17802.01,41,Subaru,Outback,2010,92319.27,5579.26
17774.67,55,Citroen,C3 Aircross,2024,112530.73,5369.93
7128.94,48,Toyota,Corolla Cross,2020,128506.34,6756.52
10359.96,36,Honda,Accord,2019,177849.1,7253.14
12450.32,37,Nissan,Frontier,2012,73138.99,3877.95
6121.67,25,Fiat,Toro,2007,38105.1,2849.83
4109.46,37,Ford,Ka,2024,49529.84,1959.22
3642.88,34,Nissan,Versa,2008,29890.73,1681.27
8701.65,41,Peugeot,2008,2020,95770.95,4428.72
10159.79,28,Fiat,Argo,2005,18759.48,1536.86
5517.52,44,Nissan,Sentra,2021,112155.71,6379.43
5139.96,56,Volkswagen,Voyage,2018,28688.47,1643.29
4934.17,36,Peugeot,308,2017,34019.42,1736.87
7702.58,42,Fiat,Pulse,2024,104489.86,6061.18
11523.25,46,Hyundai,i30,2025,66269.01,3649.78
8007.17,33,Fiat,Punto,2016,24225.43,1212.57
6951.93,40,Toyota,Yaris,2019,74906.94,3806.76
15203.35,38,Audi,A4,2015,181855.95,9980.25
33274.32,39,Fiat,Palio,2007,14000.0,1100.0
6152.68,28,Fiat,Titano,2024,215892.33,14190.56
17247.59,38,Mitsubishi,Eclipse Cross,2022,141547.71,6566.2
4785.45,43,Chevrolet,S10,2024,237178.86,12576.93
15415.95,55,GWM,Haval H6,2023,176130.27,8217.05
4677.16,49,Volkswagen,Golf,2024,130792.59,7435.65
6911.44,63,BMW,118i,2025,253290.14,13902.25
5969.26,28,Renault,Kwid,2014,29581.06,2102.57
2448.68,48,Citroen,C3 Aircross,2016,55467.22,2809.44
2406.37,40,Volkswagen,T-Cross,2025,144541.73,5691.28
5223.09,64,Chevrolet,Astra,2015,22290.15,1458.47
13168.67,28,Mini,Cooper S,2025,258529.17,20664.89
5259.27,27,Hyundai,i30,2021,48479.52,2588.7
10621.45,30,Ford,Fiesta,2015,24449.26,1174.13
2092.14,18,Suzuki,Swift,2018,30953.46,2674.41
7779.94,31,Chevrolet,Spin,2005,16529.49,1100.0
7887.02,28,Peugeot,2008,2013,44132.3,2865.8
3929.86,39,Kia,Soul,2021,51553.72,2891.82
20790.76,42,Audi,Q3,2025,295582.11,16031.78
3996.26,60,Fiat,Strada,2019,68469.45,4286.65
6546.26,49,Renault,Kwid,2023,59211.4,2584.6
26227.78,31,Honda,CR-V,2025,261258.43,10558.2
3479.91,27,Renault,Captur,2024,116090.12,8246.82
4972.05,43,Volkswagen,Nivus,2021,94772.55,3933.78
6241.53,22,Fiat,Pulse,2020,75749.03,5306.52
3803.87,59,Renault,Oroch,2013,45905.88,3015.96
10444.6,52,BYD,Song Plus,2009,65218.31,5204.02
2272.09,32,Peugeot,207,2018,19165.02,1119.78
5434.7,18,Fiat,Palio,2021,28562.4,2730.48
18225.27,54,Ford,Ka Sedan,2007,14000.0,1100.0
9647.71,36,Fiat,Uno,2023,37814.68,1924.66
7558.24,52,Nissan,Versa,2019,60639.59,2382.37
4507.21,18,Fiat,Cronos,2024,83718.54,8537.11
5946.42,30,Ford,Mustang,2018,358178.69,17404.42
5747.55,38,Jeep,Grand Cherokee,2009,120877.92,7933.89
8552.15,38,Nissan,Kicks,2020,85184.07,4238.54
9276.62,32,Renault,Kardian,2010,36194.52,1760.88
7895.53,45,Volkswagen,Voyage,2015,24652.48,1389.58
8869.87,25,Volkswagen,Up,2023,50354.7,3536.32
8964.21,36,Volkswagen,T-Cross,2023,127024.36,7015.88
3328.72,39,Chevrolet,Onix Plus,2018,50883.03,2276.1
1857.31,44,Citroen,C4 Cactus,2013,40183.96,1561.36
8103.89,46,Chevrolet,Tracker,2014,61882.03,3047.86
4497.0,24,Peugeot,207,2023,24255.68,1988.96
6186.11,19,Volkswagen,T-Cross,2009,35602.24,3096.2
20590.39,53,GWM,Haval H6,2010,52162.05,3247.61
5986.12,41,Toyota,Yaris Sedan,2025,112267.81,4948.4
7398.69,29,GWM,Tank 300,2019,233424.32,18888.22
4906.44,56,Audi,RS3,2024,472592.12,24543.75
9120.79,39,Toyota,Yaris,2016,52859.77,2279.36
4919.79,52,Nissan,March,2024,47828.51,2448.46
12132.24,38,Honda,ZR-V,2021,137093.3,5005.39
9040.76,62,Volkswagen,T-Cross,2014,77369.83,4799.86
7549.51,59,Chevrolet,Spin,2021,67251.95,4928.57
2547.39,35,Suzuki,Jimny Sierra,2021,107435.37,4990.44
3398.78,49,Kia,Soul,2021,53841.88,3146.77
10170.15,45,Fiat,Pulse,2024,106019.31,4454.27
15462.23,54,Volkswagen,T-Cross,2018,76240.71,4305.72
6873.14,26,Citroen,C3 Aircross,2025,121392.43,5786.59
6425.14,46,Toyota,SW4,2021,284414.52,11178.78
7820.49,50,Honda,Accord,2020,210283.22,10849.38
4998.65,18,Fiat,Toro,2022,95714.1,8339.14
3837.97,23,Renault,Sandero,2007,16483.31,1430.49
2480.83,18,Jeep,Wrangler,2024,424862.77,40544.12
2993.77,34,Fiat,Pulse,2017,58720.02,2964.05
4922.37,46,Hyundai,Creta,2009,40777.94,2648.26
8453.26,56,Volkswagen,Nivus,2012,50981.68,2849.44
3141.63,38,Peugeot,208,2013,39262.73,1978.15
7743.58,57,Mitsubishi,ASX,2011,32228.12,1577.62
3645.29,21,Hyundai,Creta,2024,126970.84,11552.6
2060.32,18,Volkswagen,Golf,2014,38200.87,4314.94
4631.11,37,Renault,Logan,2025,83209.03,4126.97
8100.34,42,Honda,City,2023,95384.46,4202.83
4661.81,37,Toyota,Yaris,2024,95607.45,4784.51
12796.17,18,Hyundai,Santa Fe,2016,155195.54,13360.84
9553.35,36,Honda,City Hatchback,2025,116474.66,5957.42
10513.29,22,Toyota,Corolla Cross,2019,111122.64,10720.17
44438.3,46,CAOA Chery,Tiggo 2,2025,79669.33,3203.32
5067.09,42,Volkswagen,Fox,2011,15182.71,1100.0
2601.85,26,Renault,Clio,2023,32383.94,2609.72
4005.15,31,Chevrolet,Onix Plus,2013,42125.01,1880.99
6138.83,25,Fiat,Argo,2012,25950.05,1694.29
8438.87,37,Toyota,Yaris,2024,95907.14,4296.28
8391.82,49,Kia,Cerato,2025,117962.21,4398.2
4609.51,26,Hyundai,HB20S,2021,71057.7,6025.19
9146.4,44,Jeep,Wrangler,2020,259845.43,12886.22
12244.68,31,Peugeot,3008,2013,105951.17,4732.79
3949.06,28,Chevrolet,Camaro,2010,159636.33,10918.57
3879.57,36,Fiat,Palio,2019,21469.85,1227.43
18455.76,25,Jeep,Commander,2016,121004.72,8655.21
3287.03,31,Ford,Ka,2011,14278.51,1100.0
